EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'7325549892880,69.99,B0BFD7P6VM,"#183.582, (Fashion)",-14.62 ,"-20,44 %"
'0810002570582,74.99,B07K6F3GZX,"#247.317, (Fashion)",-21.86 ,"-31,24 %"
'0768686740367,167.99,B01MQ0HGN9,"#236.440, (Sport & Freizeit)",-35.27 ,"-21,38 %"
'5034948137530,41.99,B08Z7S4F7Y,-,-0.91 ,"-1,60 %"
'7630472645251,43.99,B08JZ8RSYR,-,4.61 ,"7,31 %"
'0768686020735,237.99,B01LX5TGRN,-,-40.29 ,"-16,74 %"
'7630472645831,65.99,B08JZ9P9GR,-,-8.53 ,"-12,19 %"
'0191972623530,62.99,B0988VXMJT,-,-11.82 ,"-18,03 %"
'0887202377068,39.99,B09V22J4HF,-,-0.97 ,"-1,82 %"
'9008415974948,29.99,B08G8BFP51,-,6.11 ,"12,01 %"
'0841269161428,39.99,B0943HT77H,-,-8.43 ,"-19,82 %"
'0768686089442,111.99,B076B11GML,-,8.36 ,"5,35 %"
'8435409068573,31.99,B084L7YHYC,"#559.842, (Sport & Freizeit)",-1.57 ,"-3,55 %"
'7325549999107,57.99,B07V6JNRCB,"#1.143.496, (Fashion)",-14.73 ,"-25,40 %"
'0194691249708,41.99,B0979PG45B,"#1.322.887, (Fashion)",-12.90 ,"-30,86 %"
'8050949608159,55.99,B09PBPRN6W,"#442.642, (Fashion)",-13.59 ,"-24,27 %"
'8050949067024,50.99,B0845PZ6HV,"#206.224, (Fashion)",-12.38 ,"-24,27 %"
'4550170435660,44.99,B07P56SLNG,-,-10.88 ,"-24,19 %"
'5056286916691,119.99,B09RN8YKX8,"#673.953, (Fashion)",-10.76 ,"-7,74 %"
'8050949610510,40.99,B09NMR2CTY,"#620.025, (Fashion)",-11.34 ,"-27,68 %"
'5056286922333,62.99,B09RVBSBNQ,-,4.98 ,"5,48 %"
'8050949607756,68.99,B09PBPYMD6,"#425.898, (Fashion)",-15.01 ,"-21,76 %"
'8050949607619,60.99,B09R2745VM,"#2.490.222, (Fashion)",-14.35 ,"-23,53 %"
'8030819245240,31.99,B000RO4FWI,-,-30.47 ,"-3.047,26 %"
'4048852634451,65.99,B09ZHQ5JB1,"#2.688.345, (Fashion)",-1.61 ,"-2,02 %"
'0191234687027,39.99,B089NYKJ5L,-,-37.27 ,"-3.727,35 %"
'0191234686846,36.99,B089NYXXTS,"#520.882, (Fashion)",-8.98 ,"-22,45 %"
'0191234882804,34.99,B0B8KMJWGW,-,-7.34 ,"-19,33 %"
'4050772326668,65.99,B0B2PFJGX1,"#239.642, (Fashion)",-60.15 ,"-6.014,74 %"
'8050949223437,77.99,B086XNN6K7,"#4.451.687, (Fashion)",-13.25 ,"-16,16 %"
'4062218501263,69.99,B09X1B7PD4,"#184.118, (Fashion)",-30.86 ,"-61,73 %"
'0768686421167,177.99,B09J5CCMCN,"#1.518.068, (Fashion)",-32.58 ,"-18,30 %"
'4050772279407,89.99,B0B2PDDMPP,"#666.787, (Fashion)",-26.25 ,"-32,42 %"
'4016224151004,16.99,B07YMZTXNK,"#1.222, (Sport & Freizeit)",-17.96 ,"-1.796,37 %"
'0191972662966,64.99,B0BHP6S5BH,-,-10.51 ,"-14,48 %"
'0191234878289,58.99,B0B7NQ35FJ,-,-13.42 ,"-23,56 %"
'8050949462096,39.99,B09HN8322T,"#1.704.591, (Fashion)",-5.01 ,"-10,43 %"
'8050703270707,115.99,B0BG4CMN7T,-,-7.95 ,"-6,21 %"
'4062218442603,101.99,B09X1B23BY,"#36.206, (Fashion)",-23.02 ,"-22,57 %"
'8050949664117,49.99,B0B58STVBW,"#3.952.247, (Fashion)",-16.11 ,"-35,03 %"
'7325549905306,72.99,B09Z4BWK68,"#1.158.913, (Fashion)",-30.16 ,"-57,29 %"
'0191972681523,174.99,B09NX31L9S,"#843.932, (Fashion)",-85.69 ,"-87,12 %"
'8050949688519,178.99,B0BFBBCR6T,-,-6.66 ,"-3,37 %"
'7325549906631,71.99,B09Z1DGNB9,-,-21.29 ,"-34,50 %"
'0196178239943,96.99,B0BG62H88R,-,-21.85 ,"-22,07 %"
'0196178240543,135.99,B0BFWSJG9L,"#2.124.958, (Fashion)",-27.71 ,"-20,23 %"
'7325549987531,55.99,B08GQ2VFNG,-,-32.87 ,"-117,32 %"
'7325549906525,55.99,B09Z1JG7DZ,-,-21.73 ,"-49,86 %"
'5034948138339,126.99,B091684816,-,-8.42 ,"-5,60 %"
'8050949453285,69.99,B09LHRGL49,"#413.611, (Fashion)",6.89 ,"6,63 %"
'5059404343331,57.99,B09B487JRT,"#1.552.165, (Fashion)",-55.88 ,"-5.587,63 %"
'9006063676597,95.99,B08GJD9CD2,"#1.023.665, (Fashion)",-22.77 ,"-26,48 %"
'4062218238435,98.99,B09B2BQ3ZF,"#328.162, (Fashion)",-37.36 ,"-47,84 %"
'5037835373004,8.99,B003LVZE0G,"#17.484, (Sport & Freizeit)",-10.10 ,"-1.010,31 %"
'8055528357381,65.99,B09CZCJGH3,"#5.442.142, (Fashion)",-13.34 ,"-20,38 %"
'4062218245082,55.99,B091B5V9PM,"#297.500, (Fashion)",-16.07 ,"-28,70 %"
'4062218414570,95.99,B09X198G19,"#655.238, (Fashion)",-21.94 ,"-22,86 %"
'4062218239906,86.99,B091B7L8HP,"#1.663.916, (Fashion)",-19.07 ,"-21,92 %"
'0191972550218,117.99,B095X9G3R2,"#5.588.437, (Fashion)",-19.69 ,"-16,06 %"
'8030819242867,59.99,B09966BGLH,"#5.081.219, (Fashion)",-54.65 ,"-5.465,15 %"
'5034948120082,36.99,B07YF528HS,"#1.478.290, (Fashion)",-11.29 ,"-32,25 %"
'5034948141285,49.99,B0916863C7,-,-5.95 ,"-9,88 %"
'5034948139992,36.99,B09168XM5Y,-,-0.65 ,"-1,25 %"
