Searched Term,Searched Location,Name,Title,Location,Profile URL,Company Name,Company Website
creative director,New York,Nina DiSesa,Executive Creative Director,"New York, United States",https://www.adforum.com/talent/41767-nina-disesa,McCann Worldgroup,
creative director,New York,Richard Sabean,Creative Director/Copywriter/Art Director,"New York, United States",https://www.adforum.com/talent/47272-richard-sabean,BBDO New York,
creative director,New York,JB Hartford,Creative Director,"New York, United States",https://www.adforum.com/talent/81846675-jb-hartford,Jones Knowles Ritchie (JKR),
creative director,New York,Laddie Peterson,Creative Director,"New York, United States",https://www.adforum.com/talent/81789957-laddie-peterson,Wieden + Kennedy,
creative director,New York,Molly Adler,Creative Director,"New York, United Kingdom",https://www.adforum.com/talent/81782071-molly-adler,BBDO New York,
creative director,New York,LP Tremblay,Creative Director,"New York, United States",https://www.adforum.com/talent/81812430-lp-tremblay,BBDO New York,
creative director,New York,Fernando Mattei,Creative Director,"New York, United States",https://www.adforum.com/talent/81819640-fernando-mattei,,
creative director,New York,Robert Rooney,Creative Director,"New York, United States",https://www.adforum.com/talent/81813604-robert-rooney,Razorfish,
creative director,New York,Sharon Ehrlich,Group Creative Director,"New York, United States",https://www.adforum.com/talent/46774-sharon-ehrlich,McCann Worldgroup,
creative director,New York,Jill Glover,"President, Creative Director","New York, United States",https://www.adforum.com/talent/46130-jill-glover,,
creative director,New York,Sam Shepherd,Creative Director,"New York, United States",https://www.adforum.com/talent/81791705-sam-shepherd,Leo Burnett Chicago,
creative director,New York,Gary Van Dzura,Creative Director,"New York, United States",https://www.adforum.com/talent/81849706-gary-van-dzura,Wieden + Kennedy,
creative director,New York,Ian Falcon,Creative Director,"New York, United States",https://www.adforum.com/talent/81788959-ian-falcon,Saatchi & Saatchi NY,
creative director,New York,Tamara Birdsall,Creative Director,"New York, United States",https://www.adforum.com/talent/44529-tamara-birdsall,Carat,
creative director,New York,John Parker,Creative Director,"New York, United States",https://www.adforum.com/talent/41823-john-parker,Havas New York,http://nyc.havas.com/havas-new-york/
creative director,New York,John Hunt,Worldwide Creative Director,"New York, United States",https://www.adforum.com/talent/43011-john-hunt,,
creative director,New York,Anthony Sperduti,Executive Creative Director,"New York, United States",https://www.adforum.com/talent/42669-anthony-sperduti,Mythology,
creative director,New York,Rafal Montanhini Campeao,Associate Creative Director,"New York, United States",https://www.adforum.com/talent/82296840-rafal-montanhini-campeao,,
creative director,New York,Jim Foster,Creative Director,"New York, United States",https://www.adforum.com/talent/81790120-jim-foster,dentsuMB,
creative director,New York,John McLaughlin,Associate Creative Director,"New York, United States",https://www.adforum.com/talent/82215910-john-mclaughlin,,
creative director,New York,JC Ferrer,Associate Creative Director,"New York, United States",https://www.adforum.com/talent/82208225-jc-ferrer,,
creative director,New York,Vincent Lacava,Creative Director,"New York, United States",https://www.adforum.com/talent/49808-vincent-lacava,Pop & Company,
creative director,New York,Randy VanKleeck,Creative Director,"New York, United States",https://www.adforum.com/talent/22709-randy-vankleeck,BBDO New York,
creative director,New York,Jeoren Bours,Creative Director,"New York, United States",https://www.adforum.com/talent/20621-jeoren-bours,Hill Holliday,
creative director,New York,Harold Karp,Creative Director,"New York, United States",https://www.adforum.com/talent/20520-harold-karp,Merkley+Partners,
creative director,New York,Jen MacFarlane,Creative Director,"New York, United States",https://www.adforum.com/talent/40926-jen-macfarlane,McKinney,
creative director,New York,Ryan Wagman,Creative Director,"New York, United States",https://www.adforum.com/talent/25839-ryan-wagman,Ogilvy Worldwide,http://www.ogilvy.com
