SKU,EAN,,,,,,,,,,,,,,,,,,,,,
2608833787,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836615,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833788,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833789,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833790,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833791,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833792,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833794,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836616,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833795,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833796,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833797,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833798,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833799,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833800,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833801,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833803,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836618,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833804,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833806,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833807,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833808,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833809,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833810,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833812,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836620,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833813,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833815,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833816,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833817,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833818,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833819,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833821,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836623,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833822,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833823,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833825,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833826,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833827,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833829,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836626,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836631,6.95E+17,,,,,,,,,,,,,,,,,,,,,
