EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'641300161789,119.99,B0743HXJM5,"#155.812, (Sport & Freizeit)",-25.59 ,"-22,26 %"
'4524667326663,94.99,B07BWC3Y1M,"#482.737, (Computer & Zubehör)",-24.74 ,"-28,84 %"
'710845861284,88.99,B08NPX8LCV,-,5.57 ,"4,61 %"
'710845862076,41.99,B08NPXV4DT,"#756.140, (Sport & Freizeit)",-9.71 ,"-20,19 %"
'710845862052,41.99,B08NPTHR1T,-,2.88 ,"4,47 %"
'4550170504861,43.99,B083KJY5MD,"#254.175, (Sport & Freizeit)",-15.00 ,"-40,23 %"
'4550170504816,31.99,B07YZ7M5XQ,"#198.990, (Sport & Freizeit)",-8.63 ,"-27,04 %"
'4524667771142,29.99,B07DLLXQK8,"#176.028, (Sport & Freizeit)",-13.10 ,"-56,96 %"
'4524667687061,29.99,B01ESOMYTI,"#7.093, (Sport & Freizeit)",-15.86 ,"-83,49 %"
'710845780479,19.99,B017EEST16,"#29.448, (Sport & Freizeit)",-4.74 ,"-21,60 %"
'710845780462,16.99,B00CRF0KYC,"#43.261, (Sport & Freizeit)",-3.51 ,"-17,50 %"
'710845782275,18.99,B01EKODJTK,"#89.338, (Sport & Freizeit)",-7.32 ,"-43,09 %"
'4524667417316,35.99,B01ESOMUXS,"#193.538, (Sport & Freizeit)",-18.50 ,"-74,04 %"
'4524667416524,33.99,B01ESOMUY2,"#184.213, (Sport & Freizeit)",-15.44 ,"-57,21 %"
'4524667417323,35.99,B01ESOMUX8,"#410.301, (Sport & Freizeit)",-13.67 ,"-42,73 %"
'4524667416548,33.99,B01ESOMUXI,"#185.497, (Sport & Freizeit)",-33.53 ,"-3.353,48 %"
',14.99,B0BVGQV874,"#26.071, (Fashion)",-5.33 ,"-33,34 %"
'4524667749356,15.99,B07H52ZCWC,"#127.459, (Sport & Freizeit)",-1.99 ,"-9,25 %"
'4550170445843,87.99,B07XF63KBN,"#319.138, (Sport & Freizeit)",-23.53 ,"-29,41 %"
'4550170445829,81.99,B07XF62YCR,"#166.184, (Sport & Freizeit)",-20.56 ,"-26,71 %"
'4550170447892,38.99,B07SSWGGVF,"#92.458, (Sport & Freizeit)",-19.64 ,"-72,77 %"
'4550170447908,36.99,B07SRX6L94,"#103.215, (Sport & Freizeit)",-15.88 ,"-52,95 %"
'4550170445812,113.99,B07X9ZCLB3,"#383.308, (Sport & Freizeit)",-21.91 ,"-19,22 %"
