EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'8804269653357,129.99,B08XXYDKC3,-,29.73 ,"14,32 %"
'0054917320959,96.99,B01EOGMSF0,-,29.26 ,"17,77 %"
'0810060485088,89.99,B0B1RQN6HW,-,17.41 ,"12,00 %"
'5400974016475,177.99,B0C2QM6BV6,-,41.61 ,"14,32 %"
'0841269175524,65.99,B08X8XDSK9,-,21.36 ,"17,37 %"
'0887202336287,112.99,B08XMF8YGK,-,16.42 ,"10,53 %"
'8058364062440,204.99,B07ZHXZ26C,"#3.786.123, (Fashion)",18.58 ,"6,50 %"
'0841269172189,104.99,B08X91GYKF,-,20.78 ,"12,24 %"
'0768686084713,189.99,B075RPSND5,-,116.83 ,"28,50 %"
'0768686027352,111.99,B01LX5TFZG,"#2.732.132, (Fashion)",113.25 ,"36,66 %"
'8057099226509,160.99,B0BL3RTBVZ,-,36.22 ,"14,01 %"
'5056286906890,59.99,B08YKFJ6WX,"#340.094, (Fashion)",20.59 ,"19,69 %"
'9008415892068,76.99,B07VGHYC5D,-,19.13 ,"14,72 %"
'5055939979250,73.99,B0859N51LR,-,57.92 ,"34,74 %"
'0191972705946,74.99,B09NXHB6RT,"#141.126, (Auto & Motorrad)",21.92 ,"18,37 %"
'0191361285714,62.99,B09B1DL7DF,"#345.579, (Auto & Motorrad)",12.70 ,"12,80 %"
'0641300301543,97.99,B08R89B3Y5,"#4.127.658, (Fashion)",24.41 ,"14,79 %"
'0768686029059,75.99,B01M62FWZ4,"#2.326.098, (Fashion)",22.75 ,"16,98 %"
'4046068588742,288.99,B09NM1LXWG,-,12.57 ,"3,59 %"
'5055939985213,67.99,B08FP2PX6T,"#2.274.665, (Fashion)",27.21 ,"21,92 %"
'8017732534293,107.99,B08RJQFFMW,"#868.857, (Fashion)",38.27 ,"19,24 %"
'8017732501622,140.99,B07D3FR56C,"#2.786.557, (Fashion)",14.06 ,"7,03 %"
'9010583096155,63.99,B0BJ781JZT,-,12.37 ,"12,37 %"
'4050772298903,44.99,B09TSNNWPV,"#2.085.803, (Fashion)",28.77 ,"29,97 %"
'7630053193584,49.99,B08CBMRF1H,-,14.40 ,"16,36 %"
'5056286908573,27.99,B09G4NMJD6,"#937.124, (Fashion)",59.22 ,"50,85 %"
'0768686399077,77.99,B08KGQFL7V,-,17.43 ,"13,59 %"
