Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Signalistinkatu,11,"116,000 €",,,80 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/runosmaki/80307455,solidhouse
Konsulinkaari,7,"285,000 €",,,56 ,https://www.solidhouse.fi/kohde/asunto/kirkkonummi/masala/sundsberg/80295498,solidhouse
Ruhtinaankatu,8,"67,000 €",,,44 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/itatulli/80304819,solidhouse
Kaarinankatu,2,"159,000 €",,,32.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/itainen_keskusta/80305900,solidhouse
Pähkinäkuja,131,"118,000 €",,,98 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/pietniemi/80306810,solidhouse
Saanatunturintie,1,"189,600 €",,,55 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/mellunmaki/80304716,solidhouse
Murtomaantie,2,"169,000 €",,,61.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/raunistula/80305367,solidhouse
Kuohukuja,5,"224,000 €",,,73 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/myyrmaki/80307260,solidhouse
Kivalterintie,22,"205,000 €",,,50 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/oulunkyla/80307814,solidhouse
Neitsytpolku,9,"559,000 €",,,57 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/ullanlinna/80307351,solidhouse
Meteorinkatu,8,"265,000 €",,,80 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/olari/80304078,solidhouse
Koivukylän puistotie,14,"158,000 €",,,73.5 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/koivukyla/80303583,solidhouse
Graniittilinnankatu,2,"284,000 €",,,56 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/kakola/80025902,solidhouse
Saloviuksenpiha,2,"248,000 €",,,61 ,https://www.solidhouse.fi/kohde/asunto/kirkkonummi/kirkkonummi/keskusta/80307578,solidhouse
Käpypolku,1,"318,000 €",,,222 ,https://www.solidhouse.fi/kohde/asunto/kerava/kerava/savio/80292715,solidhouse
Minkinreitti,3,"495,000 €",,,131 ,https://www.solidhouse.fi/kohde/asunto/kangasala/kangasala/mantyveraja/80306815,solidhouse
Kanslerintie,3,"129,000 €",,,53 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/patterihaka/80306152,solidhouse
Länsipuisto,27,"179,000 €",,,99 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/keskusta/80306718,solidhouse
Uudenmaankatu,4-6,"649,000 €",,,70 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/punavuori/80306291,solidhouse
Kristofferinkatu,6,"570,000 €",,,365 ,https://www.solidhouse.fi/kohde/asunto/naantali/naantali/maijamaki/80291710,solidhouse
Västäräkinkatu,1,"138,000 €",,,75 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/laukkavuori/80306237,solidhouse
Mallaskatu,10,"208,000 €",,,45.5 ,https://www.solidhouse.fi/kohde/asunto/kaarina/piispanristi/piispanristi/80306050,solidhouse
Katariina Saksilaisen katu,6,"849,000 €",,,141.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/vanhankaupunginkoski_viikki/80306027,solidhouse
Ojahaanrinne,2,"259,000 €",,,82 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/myyrmaki/80294851,solidhouse
Seltterikuja,8,"379,000 €",,,86.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/konala/80291495,solidhouse
Kuusikaari,13,"159,000 €",,,88 ,https://www.solidhouse.fi/kohde/asunto/naantali/naantali/taimo/80306504,solidhouse
Hämeenojankatu,10,"59,000 €",,,58.5 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/ollikkala/80306378,solidhouse
Kaivokatu,18,"388,000 €",,,67.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/kupittaa/80305962,solidhouse
Munkkisaarenkatu,2,"849,000 €",,,,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/munkkisaari/80307708,solidhouse
Taidemaalarinkatu,16,"145,000 €",,,28.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kuninkaantammi/80297217,solidhouse
Kiviaidankatu,5,"589,000 €",,,70.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/lauttasaari/80307320,solidhouse
Soidintie,8,"297,000 €",,,95.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/malmi/80306733,solidhouse
Puuskaniementie,46,"589,000 €",,,83 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/jollas/80307612,solidhouse
Rantaniitynkuja,20,"369,000 €",,,175 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/viitanlaakso/80306811,solidhouse
Lahokkatie,12,"215,000 €",,,150 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/tupuri/80306579,solidhouse
Rautatienpuistokatu,14,"79,000 €",,,39 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/riihiketo/80307665,solidhouse
Pyhätie,1,"134,000 €",,,80.5 ,https://www.solidhouse.fi/kohde/asunto/parainen/parainen/skrabbole/80305311,solidhouse
Eteläpuisto,19,"139,000 €",,,99 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/keskusta/80295150,solidhouse
Omenaraitti,7,"375,000 €",,,106 ,https://www.solidhouse.fi/kohde/asunto/kirkkonummi/sundsberg/sundsberg/80307395,solidhouse
Sammenportti,3,"749,000 €",,,338 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/kaitaa_kaitamaki/80127971,solidhouse
Rautatienpuistokatu,2,"149,000 €",,,69 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/keskusta/80305216,solidhouse
Ylisenkuja,1,"228,000 €",,,49.5 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/jokiniemi/80306347,solidhouse
Tipurinkatu,28,"179,000 €",,,162 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/toejoki/80297114,solidhouse
Vinkkiläntie,44,"39,000 €",,,99.72 ,https://www.solidhouse.fi/kohde/asunto/vehmaa/vehmaa/vinkkila/80306717,solidhouse
Liisankatu,7,"104,900 €",,,26 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/luolavuori/80306434,solidhouse
Juhtakatu,1,"178,000 €",,,134.3 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/isoharjanmaki/80295136,solidhouse
Iso Roobertinkatu,5-3,"975,000 €",,,101.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/punavuori/80304039,solidhouse
Koskelantie,56,"249,000 €",,,38 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kapyla/80304298,solidhouse
Sukkavartaankatu,2,"307,000 €",,,73.5 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/tampella/80297744,solidhouse
Omenatie,1,"528,000 €",,,154 ,https://www.solidhouse.fi/kohde/asunto/kirkkonummi/sundsberg/sundsberg/80306242,solidhouse
Hemvikintie,4,"519,000 €",,,217.5 ,https://www.solidhouse.fi/kohde/asunto/kirkkonummi/kantvik/kantvik/80307082,solidhouse
Varikkokaarre,4,"216,000 €",,,58.5 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/keimolanmaki/80307068,solidhouse
Notkotie,7,"465,000 €",,,127.5 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/noykkio/80303261,solidhouse
Pellervonkatu,2,"39,000 €",,,36 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/tiilimaki/80304957,solidhouse
Ruosniementie,230,"82,000 €",,,95 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/ruosniementie/80306511,solidhouse
Huuhkajantie,7,"115,000 €",,,59.5 ,https://www.solidhouse.fi/kohde/asunto/rauma/rauma/pyynpaa/80304568,solidhouse
Luhtipolku,7,"169,000 €",,,184 ,https://www.solidhouse.fi/kohde/asunto/ulvila/ulvila/keskusta/80305449,solidhouse
Vehkaniitunkatu,29,"425,000 €",,,197 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/pitkamaki/80305136,solidhouse
Uuttelankuja,4,"118,000 €",,,118.5 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/halikko/80305683,solidhouse
Juhannuskatu,9,"167,000 €",,,50 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/pohjola/80306846,solidhouse
Salaistentie,11,"174,000 €",,,167 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/paukkula/80306419,solidhouse
Vartiovuorenkatu,10,"134,900 €",,,37.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/luostarinmaki/80306530,solidhouse
Virontörmänkatu,6,"137,000 €",,,88.5 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/tesoma/80304988,solidhouse
Oolannintie,2,"440,000 €",,,105 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/kartanonkoski/80305751,solidhouse
Koivulantie,9,"29,000 €",,,76 ,https://www.solidhouse.fi/kohde/asunto/kuopio/tahkovuori/tahkovuori/80305221,solidhouse
Kuminakuja,1,"320,000 €",,,69 ,"https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/laajasalo,_yliskyla/80306491",solidhouse
Ällänkatu,6,"99,000 €",,,55 ,https://www.solidhouse.fi/kohde/asunto/nakkila_/nakkila/allankatu_6_as/80304391,solidhouse
Runosmäenkatu,4,"69,500 €",,,62 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/runosmaki/80305006,solidhouse
Kirkkosalmentie,6,"122,000 €",,,25 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/laajasalo/80306506,solidhouse
Heteniityntie,1,"118,000 €",,,30 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/keski-vuosaari/80300710,solidhouse
Varvintie / Varvi III,,"85,000 €",,,,https://www.solidhouse.fi/kohde/asunto/salo/teijo/teijo/80305162,solidhouse
Kolmas linja,2,"535,000 €",,,65.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kallio/80303161,solidhouse
Tasalankatu,5,"170,000 €",,,97 ,https://www.solidhouse.fi/kohde/asunto/raisio/raisio/keskusta/80304675,solidhouse
Karpalokuja,4,"99,500 €",,,80 ,https://www.solidhouse.fi/kohde/asunto/ulvila/ulvila/palovainio/80305018,solidhouse
Liisankatu,5,"159,000 €",,,51 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/luolavuori/80303495,solidhouse
Varkkavuorenkatu,25,"192,500 €",,,79 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/hepokulta/80304851,solidhouse
Laulurastaankuja,1,"174,000 €",,,47.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/malmi/80305250,solidhouse
Hevoshaantie,9,"265,000 €",,,99.5 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/hakunila/80296465,solidhouse
Kaksoiskiventie,41,"328,000 €",,,97.5 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/tuomarila/80304994,solidhouse
Iso roobertinkatu,3-5,"398,000 €",,,,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/punavuori/80304419,solidhouse
Tuomiokirkonkatu,1,"330,000 €",,,76 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/keskusta/80305352,solidhouse
